Target,Model,accuracy_min,accuracy_max,accuracy_mean,accuracy_std,f1_weighted_min,f1_weighted_max,f1_weighted_mean,f1_weighted_std,precision_weighted_min,precision_weighted_max,precision_weighted_mean,precision_weighted_std,recall_weighted_min,recall_weighted_max,recall_weighted_mean,recall_weighted_std
TEMPGONEAC,LDA,0.5606326889279437,0.6028119507908611,0.5777330503230278,0.012420843117181507,0.5163143689134009,0.5522195305323391,0.5334781629281742,0.010974900871390792,0.5345460584016922,0.6280446454779424,0.5620957249708574,0.028532952440007576,0.5606326889279437,0.6028119507908611,0.5777330503230278,0.012420843117181507
TEMPGONEAC,KNN,0.28646748681898065,0.3444639718804921,0.31498118765315974,0.016061592718539422,0.2816794735260571,0.33755037510478,0.31087020275437405,0.015535042817747381,0.27795397036194397,0.33233025268509675,0.30893686690742234,0.015443834142575646,0.28646748681898065,0.3444639718804921,0.31498118765315974,0.016061592718539422
TEMPGONEAC,CART,0.5975395430579965,0.6690140845070423,0.6271631104730316,0.020952476998744005,0.6028475070972907,0.6781015464835141,0.6341299899239738,0.026860668662764226,0.5883718071288673,0.6873324493569467,0.6301809277578545,0.029369454901945896,0.5869947275922671,0.6778169014084507,0.6306820713383995,0.02518111366645166
TEMPGONEAC,SVM,0.3110720562390158,0.31282952548330406,0.3119941087650684,0.0007108247987962839,0.1476132813788359,0.14908609246593874,0.14838575381607028,0.0005958158759083097,0.09676582417276941,0.09786231201410918,0.09734082917600392,0.0004436244020221149,0.3110720562390158,0.31282952548330406,0.3119941087650684,0.0007108247987962839
TEMPGONEAC,ADB,0.3268892794376098,0.6073943661971831,0.4651909700735167,0.07789717359848551,0.19013145061784284,0.5519232683129349,0.3787793351387066,0.09995774784205626,0.2593454325479197,0.5825663153303422,0.4006879606995497,0.10123777560559367,0.3268892794376098,0.6073943661971831,0.4651909700735167,0.07789717359848551
TEMPGONEAC,RFC,0.6151142355008787,0.648506151142355,0.6350704844179311,0.009096038884844055,0.5818666011782451,0.6221243859612802,0.608568258345246,0.012611061713198892,0.5809653197054723,0.6446081337545857,0.6188534922924198,0.020909941392174124,0.6151142355008787,0.648506151142355,0.6350704844179311,0.009096038884844055
TEMPNITEAC,LDA,0.5043936731107206,0.5571177504393673,0.5339442189163097,0.017298983906823474,0.4376162807064117,0.5008581081149294,0.466997017180787,0.020888181811852372,0.48460132169830583,0.5879458569599415,0.5286719716725912,0.03501205387293501,0.5043936731107206,0.5571177504393673,0.5339442189163097,0.017298983906823474
TEMPNITEAC,KNN,0.281195079086116,0.31282952548330406,0.29668989331419093,0.012495043203024823,0.26629916378456875,0.3039174606684531,0.2820624606315699,0.01126836709990827,0.2614310849790772,0.30999928794701587,0.27831945372247047,0.013561811011250759,0.281195079086116,0.31282952548330406,0.29668989331419093,0.012495043203024823
TEMPNITEAC,CART,0.579225352112676,0.653169014084507,0.6125529097254883,0.02112200947002476,0.5729390770479689,0.6502082331391202,0.6112217106752411,0.01918019898577527,0.5838336603203446,0.6524027145766235,0.6127245328591593,0.02129586684035013,0.5651408450704225,0.6637323943661971,0.6090348771009183,0.02585632299273425
TEMPNITEAC,SVM,0.3110720562390158,0.31338028169014087,0.31252258719275233,0.0009765916694947931,0.1476132813788359,0.14954876713363288,0.14882931900688554,0.0008188078403777839,0.09676582417276941,0.09820720095219203,0.09767132123694039,0.0006097438402665591,0.3110720562390158,0.31338028169014087,0.31252258719275233,0.0009765916694947931
TEMPNITEAC,ADB,0.5123239436619719,0.6397188049209139,0.5742014035000866,0.04370448580787411,0.50166645063661,0.6212998403809407,0.5713282966067648,0.03820286096885757,0.499294398496147,0.6217130020801843,0.5887315177967227,0.038623693147676885,0.5123239436619719,0.6397188049209139,0.5742014035000866,0.04370448580787411
TEMPNITEAC,RFC,0.602112676056338,0.664323374340949,0.6338284982301542,0.01760867107153276,0.576919234448568,0.6377871962183931,0.60709896650102,0.01847517900355731,0.5848267900197601,0.6720628078186109,0.6309724447813957,0.02630563082944835,0.602112676056338,0.664323374340949,0.6338284982301542,0.01760867107153276
HHAGE,LDA,0.5606326889279437,0.6115992970123023,0.5858270006683333,0.017085775541579126,0.5197260501833237,0.5705038474755828,0.5461501909350288,0.01907805577642352,0.6119599462373723,0.6828630118366579,0.6365386405830895,0.019540315975454657,0.5606326889279437,0.6115992970123023,0.5858270006683333,0.017085775541579126
HHAGE,KNN,0.38380281690140844,0.4288224956063269,0.40379990841357455,0.015383364981043758,0.36819285529363494,0.4078076094560901,0.3879172905476397,0.01299448201751708,0.3665698542021897,0.40468083188272114,0.38847368997599707,0.014062817266527977,0.38380281690140844,0.4288224956063269,0.40379990841357455,0.015383364981043752
HHAGE,CART,0.5026362038664324,0.5387323943661971,0.5165353721626773,0.01122738737864316,0.4926288905319661,0.5421123880312987,0.5231452801053671,0.015527399339854584,0.493588326915032,0.5533218601869545,0.522456954173838,0.019602002672653586,0.4903339191564148,0.546572934973638,0.5195209039827718,0.02020728557723895
